laneid,s_offset,e_offset,lon,lat,e_spdlmt
2393679634492329985,0,53,113.479283,35.095684,100
2393679634492329986,0,53,113.479242,35.095690,100
2393679634492329987,0,53,113.479201,35.095696,100
2393679634492321537,0,99,113.479395,35.096153,100
2393679634492321538,0,100,113.479350,35.096158,100
2393679634492321539,0,100,113.479308,35.096162,100
2393679634492321540,0,100,113.479267,35.096167,100
2393679634492321793,0,172,113.479537,35.097037,100
2393679634492321794,0,172,113.479494,35.097045,100
2393679634492321795,0,172,113.479453,35.097052,100
2393679634492321796,0,172,113.479412,35.097059,100
2393679634492322049,0,5,113.479843,35.098562,100
2393679634492322050,0,5,113.479801,35.098569,100
2393679634492322051,0,6,113.479759,35.098576,100
2393679634492322052,0,6,113.479719,35.098582,100
2393679634492322305,0,61,113.479851,35.098603,100
2393679634492322306,0,60,113.479811,35.098612,100
2393679634492322307,0,60,113.479770,35.098621,100
2393679634492322308,0,60,113.479730,35.098631,100
2393679634492304385,0,221,113.479936,35.099141,100
2393679634492304386,0,222,113.479895,35.099148,100
2393679634492304387,0,223,113.479854,35.099155,100
2393679634492304641,0,21,113.480466,35.101084,100
2393679634492304642,0,21,113.480427,35.101096,100
2393679634492304643,0,21,113.480388,35.101108,100
2393679634492304897,0,6,113.480520,35.101263,100
2393679634492304898,0,6,113.480482,35.101275,100
2393679634492304899,0,6,113.480443,35.101287,100
2393679634492305153,0,79,113.480536,35.101314,100
2393679634492305154,0,79,113.480498,35.101326,100
2393679634492305155,0,78,113.480459,35.101339,100
2392286372871275265,0,10,120.063336,29.406062,120
2392286372871275266,0,10,120.063328,29.406029,120
